"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R19,R28,R27,R30,R18,R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1K";;;
2;"C50,C28,C37,C51,C53,C41,C44,C42,C45,C52,C49,C47,C33,C39";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";14;"0.1uF";;;
3;"C29";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
4;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
5;"C3,C6";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"220uF";;;
6;"C38,C46,C40";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"10uF";;;
7;"D5,D7,D6,D2,D3,D4";"LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder";6;"LED";;;
8;"C27";"C_1206_3216Metric";1;"1uF";;;
9;"U8";"SON50P200X200X80-9N";1;"MAX17048G_T10";;;
10;"R11,R15,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"5K1";;;
11;"C7,C9,C8,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"220nF";;;
12;"C4,C16,C15,C1,C17,C35,C18";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"1nF";;;
13;"C36,C2,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100nF";;;
14;"R2,R1,R4,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"3.3R";;;
15;"R20";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"255K";;;
16;"R6,R5";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"100KR";;;
17;"R26";"R_0402_1005Metric";1;"20K";;;
18;"Q1,Q2";"SOT-23";2;"BC817";;;
19;"J1,J2";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";2;"Screw_Terminal_01x02";;;
20;"U5";"SOT-23-5";1;"XC6220B331MR";;;
21;"C32,C31";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"2.2nF";;;
22;"C20,C21,C19,C22";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"10nF";;;
23;"J3";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0_14P";;;
24;"R21";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"100k";;;
25;"Q3";"SOT-23";1;"DMG2301L";;;
26;"R24";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"470K";;;
27;"D1";"D_SOD-323";1;"BAT60A";;;
28;"R9,R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"470R";;;
29;"C43,C25,C24,C26,C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"1uF";;;
30;"L1,L3,L4,L2";"WE-PD_1260";4;"10uH";;;
31;"R22";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"49.9K";;;
32;"C30,C34";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
33;"C14,C13,C11,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"680nF";;;
34;"U7";"VQFN-20";1;"TPS61088RHLR";;;
35;"F1";"Fuseholder_Cylinder-6.3x32mm_Schurter_0031-8002_Horizontal_Open";1;"15A";;;
36;"R12,R13";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"10K";;;
37;"C48";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"3.3uF";;;
38;"U6";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056";;;
39;"R23";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"56K";;;
40;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Screw_Terminal_01x02";;;
41;"R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.2K";;;
42;"R10";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"10KR";;;
43;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0.4";;;
44;"R25";"R_0402_1005Metric";1;"100K";;;
45;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5100";;;
46;"L5";"WE-PD_1260";1;"1.2uH";;;
47;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
48;"U1";"SOP65P810X115-33N";1;"TPA3116D2";;;
